       name       |  count  
 BEDIR            |    4855
 RAMADAN          |    4841
 TIMUR            |    4827
 ALPARSLAN        |    4794
 YUSUF ZIYA       |    4791
 AYSE FATMA       |    4790
 FADIL            |    4783
 ULFET            |    4757
 BINNUR           |    4757
 RASIME           |    4753
 PERISAN          |    4742
 FADIMA           |    4741
 FERAT            |    4740
 GURAY            |    4736
 CAGDAS           |    4731
 DONUS            |    4717
 GULGUN           |    4711
 ZUBEYIR          |    4711
 SURIYE           |    4677
 GARIP            |    4672
 HESNA            |    4671
 NURCIHAN         |    4658
 MUJDE            |    4622
 SEYIT AHMET      |    4603
 MUNURE           |    4595
 NEDRET           |    4589
 DILARA           |    4589
 ABIDE            |    4577
 TUNAY            |    4575
 DEVRIM           |    4570
 SEVIYE           |    4569
