     name      |  count  |  id   
 OGUZHAN       |   14995 | 58624
 HALIM         |   14984 | 57639
 GURBET        |   14951 | 57736
 NEFISE        |   14892 | 57896
 BERRIN        |   14889 | 57799
 GULUMSER      |   14845 | 57857
 MUTLU         |   14843 | 58580
 SEHRIBAN      |   14758 | 57742
 HANIFI        |   14756 | 58418
 BAKI          |   14743 | 58449
 UMMAHAN       |   14716 | 65465
 TULIN         |   14707 | 57999
 MENEKSE       |   14693 | 57522
 HASIM         |   14639 | 57511
 MUMIN         |   14631 | 57300
 ISMAIL HAKKI  |   14613 | 57782
 MIYASE        |   14612 | 57796
 MUKERREM      |   14590 | 59134
 ABDULKERIM    |   14514 | 58994
 SENEL         |   14506 | 58374
 GULBEYAZ      |   14486 | 59959
 ALEV          |   14464 | 58030
 ATIYE         |   14237 | 57223
 PELIN         |   14220 | 57767
 GOZDE         |   14200 | 57659
 FETHI         |   14166 | 57269
 RASIT         |   14147 | 59014
 HALIDE        |   14060 | 57295
 RESIT         |   14031 | 57517
 GURSEL        |   14025 | 57783
 SERMIN        |   14007 | 57429
 ERGIN         |   13997 | 57457
 GALIP         |   13945 | 58404
 MURVET        |   13928 | 58603
 SEVKI         |   13923 | 58507
 YADIGAR       |   13915 | 59183
 NADIR         |   13874 | 57950
 RESAT         |   13826 | 58473
 EREN          |   13779 | 58785
 NECIBE        |   13709 | 58439
 GIZEM         |   13669 | 57135
 GUNES         |   13644 | 59303
 SEMSI         |   13627 | 58049
 MIKAIL        |   13611 | 58722
 BINNAZ        |   13604 | 57167
 MUKADDER      |   13561 | 58212
 SENNUR        |   13518 | 57780
 SAIM          |   13500 | 57647
 GUVEN         |   13417 | 58204
 MENSURE       |   13332 | 58356
 CAVIT         |   13315 | 57575
 LOKMAN        |   13288 | 58231
 LALE          |   13268 | 58015
 KERIME        |   13261 | 58596
 SEMSETTIN     |   13251 | 57672
 NERGIZ        |   13217 | 58123
 NAZIME        |   13194 | 58458
 ZEYNEL        |   13047 | 59092
 MURSEL        |   12959 | 58058
 ABDURRAHIM    |   12915 | 59991
 ASLIHAN       |   12907 | 57930
 TUGCE         |   12869 | 58121
 SECIL         |   12854 | 57268
 PERVIN        |   12833 | 58022
 MUJGAN        |   12820 | 57697
 ASLAN         |   12813 | 58502
 OZAN          |   12809 | 58144
 SENER         |   12783 | 58895
 HURU          |   12728 | 63616
 KIRAZ         |   12700 | 57298
 ENDER         |   12681 | 57614
 GULPERI       |   12656 | 59202
 SEYIT         |   12602 | 58641
 SABIRE        |   12574 | 58102
 GULSUN        |   12550 | 59325
 GAZI          |   12474 | 57646
 MUSTAFA KEMAL |   12471 | 58139
 OMUR          |   12442 | 57751
 OZDEN         |   12431 | 58006
 CANSU         |   12431 | 57715
 REFIKA        |   12428 | 58799
 KAMURAN       |   12197 | 58150
 BEHICE        |   12193 | 58707
 NAIM          |   12186 | 57632
 AYTEKIN       |   12137 | 58163
 OZER          |   12130 | 58705
 UZEYIR        |   12104 | 57199
 KADRI         |   12075 | 58779
 SUKRUYE       |   12052 | 59222
 ZERRIN        |   12032 | 58158
 TURHAN        |   12026 | 57645
 MUALLA        |   12005 | 58162
 ABIDIN        |   11997 | 57948
 FAZLI         |   11990 | 57407
 TEMEL         |   11988 | 57798
 SEYMA         |   11934 | 59999
 MITHAT        |   11930 | 58548
 SUNAY         |   11823 | 58107
 BILGE         |   11816 | 58851
 AYISE         |   11813 | 61341
 HALUK         |   11697 | 57787
 SAMIYE        |   11655 | 57299
 ESAT          |   11640 | 57743
 HURI          |   11633 | 57379
 ERGUL         |   11543 | 58270
